age,experience_years,education_level,job_role,location,company_size,industry,remote_work,performance_rating,salary_lakh
37,9.3,Bachelor's,Data Scientist,Kolkata,Medium,Healthcare,Yes,Good,26.56
25,0.9,Master's,Software Engineer,Hyderabad,Large,Retail,Yes,Good,12.51
28,3.1,Bachelor's,Data Analyst,Pune,Medium,Manufacturing,No,Excellent,11.83
40,13.7,Master's,Senior Developer,Bangalore,Large,Education,No,Average,41.35
39,14.9,Bachelor's,Accountant,Kolkata,Small,Education,No,Excellent,40.15
44,19.4,Master's,Accountant,Mumbai,Large,Healthcare,No,Good,60.13
33,6.5,PhD,Junior Developer,Hyderabad,Medium,Manufacturing,No,Good,19.76
31,7.4,High School,HR Specialist,Kochi,Medium,Retail,Yes,Excellent,17.51
32,9.4,Bachelor's,HR Specialist,Kolkata,Small,Education,No,Average,20.66
27,3.8,Bachelor's,Data Analyst,Hyderabad,Medium,IT,No,Good,12.36
28,2.6,Diploma,Data Scientist,Hyderabad,Medium,IT,No,Good,14.85
34,9.5,Bachelor's,Marketing Executive,Bangalore,Large,IT,No,Good,25.55
29,4.5,PhD,Data Analyst,Kolkata,Large,Manufacturing,Yes,Excellent,18.54
39,13.4,High School,Junior Developer,Bangalore,Medium,Manufacturing,Yes,Average,32.64
32,8.7,Bachelor's,Data Analyst,Bangalore,Medium,IT,Yes,Excellent,24.98
43,16.7,Master's,Senior Developer,Hyderabad,Medium,IT,Yes,Average,52.46
39,14.0,Bachelor's,Data Analyst,Bangalore,Large,Manufacturing,No,Average,39.18
27,6.2,Bachelor's,Senior Developer,Mumbai,Large,Education,No,Good,21.6
44,16.6,PhD,Software Engineer,Pune,Medium,Healthcare,Yes,Excellent,51.97
39,16.1,Bachelor's,Business Analyst,Pune,Large,Retail,Yes,Average,44.43
28,7.7,Diploma,Software Engineer,Delhi,Medium,Finance,No,Excellent,19.18
27,5.8,High School,Marketing Executive,Kochi,Large,Finance,Yes,Average,13.79
35,13.6,Master's,Marketing Executive,Chennai,Large,Healthcare,No,Good,37.26
27,2.8,Bachelor's,HR Specialist,Mumbai,Large,Consulting,Yes,Good,11.53
27,4.0,Bachelor's,Business Analyst,Pune,Small,Manufacturing,Yes,Average,9.85
23,0.1,High School,Junior Developer,Chennai,Medium,Finance,Yes,Excellent,6.25
41,15.7,Bachelor's,Data Analyst,Kochi,Small,Education,No,Good,42.15
38,13.3,Master's,Software Engineer,Mumbai,Large,Consulting,Yes,Good,38.25
39,14.1,Bachelor's,Project Manager,Mumbai,Medium,Consulting,No,Good,39.49
41,15.6,PhD,HR Specialist,Delhi,Medium,Manufacturing,Yes,Good,45.97
35,9.2,Bachelor's,Accountant,Delhi,Large,IT,Yes,Good,24.12
30,11.4,Bachelor's,Data Analyst,Kolkata,Small,Finance,No,Excellent,30.61
26,2.8,Master's,Senior Developer,Pune,Medium,Finance,Yes,Good,15.41
21,2.3,Bachelor's,Business Analyst,Chennai,Medium,Finance,Yes,Good,12.46
37,13.4,Bachelor's,HR Specialist,Chennai,Medium,Finance,No,Good,35.21
33,9.4,Master's,Marketing Executive,Kolkata,Small,Healthcare,No,Good,21.96
38,11.3,Bachelor's,Data Scientist,Hyderabad,Small,Education,Yes,Good,31.51
42,15.3,Bachelor's,Data Scientist,Mumbai,Medium,Healthcare,Yes,Good,44.57
37,12.7,PhD,Data Analyst,Mumbai,Medium,Healthcare,No,Good,36.15
34,11.1,Diploma,Marketing Executive,Delhi,Medium,Finance,No,Good,26.44
36,11.2,Bachelor's,Senior Developer,Pune,Small,Finance,No,Excellent,32.08
29,6.1,High School,Business Analyst,Hyderabad,Medium,Consulting,No,Excellent,15.28
25,0.6,Bachelor's,Software Engineer,Hyderabad,Medium,Retail,No,Excellent,10.64
35,8.7,Diploma,Data Scientist,Hyderabad,Medium,Finance,Yes,Good,25.21
27,4.3,Master's,Data Analyst,Kolkata,Large,Manufacturing,Yes,Good,16.83
34,8.2,Diploma,HR Specialist,Kolkata,Medium,Manufacturing,No,Average,17.14
43,17.1,Master's,HR Specialist,Mumbai,Medium,Consulting,No,Good,50.58
26,4.7,Bachelor's,Business Analyst,Bangalore,Large,Finance,No,Good,16.68
28,1.2,Bachelor's,Marketing Executive,Mumbai,Medium,Retail,No,Average,10.88
31,5.6,Bachelor's,Senior Developer,Kochi,Medium,Consulting,Yes,Excellent,17.4
30,5.9,Master's,Senior Developer,Hyderabad,Small,Manufacturing,No,Excellent,19.42
35,13.2,Bachelor's,Accountant,Kochi,Small,Finance,No,Good,36.77
33,11.1,Bachelor's,Data Scientist,Pune,Small,Consulting,No,Good,30.31
38,15.7,Master's,Junior Developer,Chennai,Large,Healthcare,No,Good,42.68
39,13.3,Bachelor's,Accountant,Delhi,Large,Education,No,Good,35.53
30,8.1,Diploma,HR Specialist,Delhi,Small,Education,Yes,Excellent,16.8
41,16.3,Master's,Junior Developer,Mumbai,Small,Manufacturing,No,Excellent,47.55
24,3.3,Bachelor's,Marketing Executive,Chennai,Medium,IT,No,Good,12.71
24,0.5,High School,HR Specialist,Delhi,Medium,Education,No,Average,5.36
26,1.8,Bachelor's,HR Specialist,Delhi,Medium,Manufacturing,Yes,Good,9.83
45,14.4,Diploma,Accountant,Bangalore,Medium,Education,No,Average,38.7
30,9.2,Diploma,Data Scientist,Kochi,Large,Finance,No,Good,23.74
31,3.2,Master's,Data Scientist,Kolkata,Medium,IT,No,Average,13.32
34,10.0,Diploma,HR Specialist,Hyderabad,Medium,Education,Yes,Average,23.03
28,3.0,Master's,Software Engineer,Chennai,Medium,Retail,No,Good,12.05
38,13.9,Master's,Software Engineer,Kolkata,Medium,Education,No,Average,36.8
34,8.9,Bachelor's,Accountant,Chennai,Large,Consulting,No,Good,21.79
31,7.6,Master's,Senior Developer,Chennai,Small,Retail,No,Average,21.77
34,6.0,Master's,Project Manager,Hyderabad,Large,Education,Yes,Excellent,22.12
35,12.6,PhD,Senior Developer,Chennai,Large,IT,No,Average,38.53
34,7.2,Bachelor's,Senior Developer,Chennai,Large,Education,No,Average,21.4
24,1.8,Diploma,Project Manager,Pune,Medium,Finance,No,Average,10.64
26,2.4,Bachelor's,Accountant,Chennai,Medium,Manufacturing,Yes,Good,9.3
41,19.2,Bachelor's,Data Scientist,Chennai,Large,Finance,No,Good,62.74
43,18.2,Diploma,Software Engineer,Bangalore,Large,Consulting,Yes,Good,54.56
42,14.0,Bachelor's,Senior Developer,Kolkata,Medium,Healthcare,No,Average,38.5
29,5.3,High School,Software Engineer,Kolkata,Large,Education,No,Excellent,16.71
43,19.4,Master's,Accountant,Mumbai,Medium,Finance,Yes,Average,59.18
37,15.6,Bachelor's,Data Analyst,Delhi,Medium,Finance,No,Good,45.2
38,14.3,High School,Data Analyst,Kolkata,Large,Consulting,No,Excellent,40.68
29,9.0,High School,Junior Developer,Delhi,Medium,Finance,No,Average,20.45
27,5.4,Bachelor's,Data Scientist,Kochi,Medium,Education,Yes,Good,16.95
26,1.9,Bachelor's,Business Analyst,Kochi,Large,Consulting,No,Excellent,10.07
45,18.1,High School,Data Scientist,Kochi,Large,Retail,Yes,Good,57.02
40,9.1,Bachelor's,HR Specialist,Bangalore,Large,IT,No,Average,23.53
27,4.0,Diploma,Software Engineer,Hyderabad,Medium,Healthcare,No,Good,11.31
34,6.1,Bachelor's,Software Engineer,Chennai,Large,Healthcare,Yes,Average,18.19
36,11.6,Bachelor's,Marketing Executive,Kochi,Small,Finance,No,Excellent,28.46
27,3.5,Bachelor's,Junior Developer,Mumbai,Medium,Finance,No,Good,11.39
42,17.1,Bachelor's,Data Scientist,Delhi,Medium,Education,No,Good,53.09
39,15.2,High School,Data Analyst,Mumbai,Large,Healthcare,Yes,Average,39.85
39,14.4,High School,Junior Developer,Kochi,Large,Healthcare,Yes,Good,37.16
32,8.6,Diploma,Project Manager,Kolkata,Large,Healthcare,No,Good,24.79
33,12.5,Master's,Business Analyst,Mumbai,Medium,Healthcare,Yes,Average,34.5
32,11.7,PhD,Junior Developer,Mumbai,Medium,Finance,No,Excellent,34.89
39,13.0,Master's,Accountant,Delhi,Medium,Education,Yes,Good,37.21
25,1.7,Bachelor's,Project Manager,Kolkata,Medium,Consulting,Yes,Good,12.2
31,8.3,Bachelor's,Marketing Executive,Hyderabad,Small,Education,No,Good,17.38
25,0.8,Bachelor's,Junior Developer,Delhi,Medium,Retail,Yes,Average,6.66
36,9.9,Master's,Accountant,Delhi,Large,Consulting,No,Good,28.35
31,6.6,Master's,Junior Developer,Chennai,Large,Retail,Yes,Good,17.19
25,2.9,Master's,Business Analyst,Hyderabad,Large,Finance,No,Good,14.13
29,2.1,Master's,HR Specialist,Mumbai,Medium,Healthcare,Yes,Average,11.71
40,11.8,Bachelor's,Data Analyst,Kochi,Medium,Education,No,Excellent,32.96
29,3.4,Master's,Junior Developer,Hyderabad,Small,Education,No,Average,10.18
45,18.5,Master's,HR Specialist,Delhi,Medium,Finance,Yes,Good,55.68
39,11.6,Bachelor's,Junior Developer,Pune,Medium,IT,No,Good,28.83
34,6.9,Master's,HR Specialist,Pune,Medium,Healthcare,Yes,Average,18.67
37,11.8,High School,Marketing Executive,Mumbai,Small,Consulting,No,Average,27.21
26,0.5,PhD,Senior Developer,Bangalore,Medium,Manufacturing,Yes,Average,15.61
44,19.2,Master's,Senior Developer,Bangalore,Medium,Manufacturing,No,Excellent,63.09
31,9.6,High School,Senior Developer,Kochi,Medium,Finance,Yes,Good,25.3
41,15.7,Bachelor's,Senior Developer,Pune,Small,Healthcare,No,Good,45.99
22,1.7,High School,Software Engineer,Kochi,Medium,Retail,No,Excellent,9.01
32,9.7,Master's,Senior Developer,Pune,Medium,Education,No,Good,29.42
37,9.8,Master's,HR Specialist,Hyderabad,Medium,Healthcare,Yes,Good,26.25
45,18.8,Bachelor's,Data Analyst,Chennai,Medium,Healthcare,Yes,Good,57.61
39,11.4,Master's,Marketing Executive,Pune,Small,IT,Yes,Good,30.04
33,9.5,High School,Accountant,Hyderabad,Large,Consulting,No,Good,23.95
26,5.3,Bachelor's,Marketing Executive,Kolkata,Small,Consulting,No,Excellent,14.1
30,6.6,Bachelor's,Project Manager,Kolkata,Medium,IT,Yes,Good,18.69
35,10.4,High School,Data Analyst,Kochi,Small,Healthcare,No,Good,25.15
33,8.8,Bachelor's,Business Analyst,Kolkata,Medium,Education,Yes,Good,23.53
27,0.4,Bachelor's,Senior Developer,Hyderabad,Medium,Manufacturing,Yes,Excellent,12.05
40,16.5,Bachelor's,Data Scientist,Bangalore,Large,Consulting,No,Average,50.87
43,17.9,Bachelor's,Data Scientist,Hyderabad,Medium,Healthcare,Yes,Excellent,54.33
24,2.8,Master's,Marketing Executive,Pune,Medium,Manufacturing,Yes,Good,12.12
36,11.1,Bachelor's,Project Manager,Kochi,Small,Consulting,No,Good,30.29
26,2.2,Master's,Marketing Executive,Hyderabad,Small,Manufacturing,Yes,Excellent,12.46
36,13.4,Bachelor's,Business Analyst,Delhi,Medium,Healthcare,No,Good,36.41
29,5.6,Bachelor's,Data Analyst,Hyderabad,Medium,Manufacturing,No,Average,11.16
37,13.2,Bachelor's,Accountant,Kochi,Medium,Healthcare,No,Excellent,34.93
38,14.5,Bachelor's,Software Engineer,Bangalore,Large,IT,No,Good,41.56
44,15.4,Bachelor's,Business Analyst,Delhi,Large,Manufacturing,No,Good,44.88
26,2.2,Bachelor's,Software Engineer,Mumbai,Large,Manufacturing,Yes,Good,13.77
42,18.3,Diploma,Accountant,Kochi,Medium,Healthcare,No,Good,52.33
23,4.6,Bachelor's,Data Analyst,Hyderabad,Large,Education,No,Good,14.91
22,0.7,Bachelor's,Business Analyst,Bangalore,Medium,Healthcare,No,Average,8.11
34,11.1,Bachelor's,Software Engineer,Delhi,Medium,IT,Yes,Good,28.69
30,7.4,Master's,Data Scientist,Bangalore,Large,Consulting,No,Excellent,24.97
44,16.6,Bachelor's,Business Analyst,Hyderabad,Medium,IT,No,Average,44.63
40,16.2,PhD,Junior Developer,Kolkata,Large,Education,Yes,Good,46.77
34,6.3,Master's,Senior Developer,Chennai,Large,IT,No,Good,23.47
43,19.1,PhD,Junior Developer,Kochi,Small,Retail,Yes,Excellent,59.17
30,5.8,Master's,Data Analyst,Pune,Medium,Consulting,Yes,Good,17.9
34,10.3,Diploma,Data Analyst,Kolkata,Medium,Retail,No,Excellent,25.39
29,5.1,Bachelor's,HR Specialist,Delhi,Large,Retail,No,Average,12.37
47,18.7,Diploma,Senior Developer,Kolkata,Large,Manufacturing,Yes,Good,59.55
22,3.3,Master's,Software Engineer,Mumbai,Small,Consulting,Yes,Excellent,12.03
21,0.9,Bachelor's,Software Engineer,Hyderabad,Small,Consulting,Yes,Excellent,9.7
31,8.7,Bachelor's,Business Analyst,Pune,Small,Finance,No,Good,21.76
44,19.8,Master's,Business Analyst,Delhi,Medium,Education,No,Good,63.25
44,17.8,High School,Senior Developer,Delhi,Small,Manufacturing,No,Good,51.68
40,15.0,Bachelor's,Software Engineer,Mumbai,Large,Healthcare,Yes,Average,39.74
41,17.8,Master's,Junior Developer,Bangalore,Medium,Retail,No,Excellent,53.49
44,17.9,High School,Business Analyst,Chennai,Large,IT,No,Excellent,52.78
37,10.4,Bachelor's,Marketing Executive,Kolkata,Medium,Consulting,No,Good,24.85
31,6.3,Master's,Marketing Executive,Mumbai,Medium,Retail,Yes,Good,19.93
42,15.4,High School,Senior Developer,Hyderabad,Small,Manufacturing,Yes,Good,41.77
38,13.2,Bachelor's,HR Specialist,Kolkata,Large,Manufacturing,No,Average,34.37
30,7.5,Bachelor's,Junior Developer,Kochi,Small,Finance,No,Good,17.29
28,1.9,Bachelor's,HR Specialist,Bangalore,Small,Education,Yes,Good,11.45
39,14.9,High School,Project Manager,Chennai,Small,Consulting,No,Average,39.23
29,5.2,Master's,Data Analyst,Mumbai,Large,Finance,Yes,Good,19.03
46,18.7,Master's,Marketing Executive,Mumbai,Small,Manufacturing,Yes,Excellent,58.02
23,4.8,Diploma,HR Specialist,Mumbai,Medium,Healthcare,No,Average,12.85
23,2.5,Bachelor's,Data Scientist,Chennai,Large,Retail,No,Good,13.25
38,16.6,Bachelor's,Software Engineer,Mumbai,Large,Education,Yes,Good,45.88
26,3.1,Master's,Junior Developer,Delhi,Small,Retail,No,Average,11.03
27,3.6,Bachelor's,Business Analyst,Mumbai,Small,Manufacturing,No,Good,13.25
32,12.0,Diploma,Senior Developer,Delhi,Medium,Healthcare,Yes,Good,33.67
39,17.5,High School,Data Analyst,Pune,Small,Finance,No,Average,46.97
26,3.9,PhD,HR Specialist,Hyderabad,Medium,Healthcare,No,Average,15.84
36,6.2,Bachelor's,Senior Developer,Delhi,Medium,Retail,No,Excellent,20.12
44,15.5,Master's,Data Analyst,Chennai,Medium,Manufacturing,No,Good,44.71
42,19.4,Bachelor's,Marketing Executive,Chennai,Small,Manufacturing,No,Good,58.66
33,10.0,Master's,Project Manager,Bangalore,Medium,Healthcare,Yes,Good,31.86
24,2.9,High School,HR Specialist,Kolkata,Small,Consulting,Yes,Excellent,9.55
21,0.3,High School,Junior Developer,Kolkata,Medium,IT,No,Good,5.42
28,4.6,Master's,Data Scientist,Chennai,Small,IT,No,Excellent,16.81
24,2.6,Master's,Data Scientist,Chennai,Large,IT,Yes,Good,18.63
37,13.6,Bachelor's,HR Specialist,Pune,Medium,Consulting,Yes,Good,36.54
22,2.4,Bachelor's,Software Engineer,Hyderabad,Small,Finance,No,Good,10.88
32,10.1,Bachelor's,Software Engineer,Delhi,Small,Retail,Yes,Good,29.11
38,13.9,Bachelor's,Marketing Executive,Delhi,Medium,Manufacturing,Yes,Good,37.85
37,11.6,Diploma,HR Specialist,Mumbai,Small,Manufacturing,No,Average,25.53
29,4.0,Master's,Accountant,Kochi,Small,Consulting,No,Good,12.66
37,16.1,Bachelor's,Senior Developer,Delhi,Large,IT,No,Good,47.82
40,14.3,Master's,Business Analyst,Delhi,Medium,Healthcare,No,Average,39.17
37,14.8,High School,Senior Developer,Kolkata,Small,Education,Yes,Good,40.04
28,2.6,High School,HR Specialist,Chennai,Medium,Retail,No,Good,8.46
26,2.5,Bachelor's,Software Engineer,Chennai,Medium,Retail,Yes,Good,9.68
39,18.6,Bachelor's,Business Analyst,Mumbai,Large,Education,Yes,Excellent,61.0
31,8.0,Bachelor's,Data Analyst,Delhi,Small,Healthcare,No,Good,20.26
31,6.0,High School,Accountant,Pune,Large,IT,No,Excellent,16.63
35,9.8,Master's,Data Analyst,Hyderabad,Large,Education,No,Good,28.18
37,13.3,Master's,Marketing Executive,Mumbai,Small,Finance,Yes,Average,35.8
47,19.1,Master's,Data Scientist,Kochi,Small,Education,No,Excellent,62.33
32,5.7,Diploma,Junior Developer,Hyderabad,Medium,Manufacturing,No,Average,13.78
42,18.5,Bachelor's,Software Engineer,Pune,Large,Education,No,Good,56.31
26,0.5,Bachelor's,HR Specialist,Delhi,Medium,Retail,No,Good,9.75
40,11.1,Bachelor's,Software Engineer,Chennai,Medium,IT,Yes,Good,29.54
42,12.7,Bachelor's,Senior Developer,Kochi,Large,Retail,No,Good,36.48
23,2.1,High School,Project Manager,Kolkata,Large,Education,No,Good,11.54
24,2.8,Bachelor's,Senior Developer,Mumbai,Medium,IT,No,Average,15.34
36,8.4,Bachelor's,Software Engineer,Pune,Medium,Finance,No,Average,19.84
41,19.3,Bachelor's,HR Specialist,Kolkata,Large,Manufacturing,No,Average,58.26
33,11.9,Diploma,HR Specialist,Pune,Medium,Consulting,Yes,Average,29.09
41,18.7,Bachelor's,Marketing Executive,Mumbai,Large,Education,Yes,Good,56.79
41,16.1,Bachelor's,Business Analyst,Mumbai,Small,Consulting,No,Good,44.52
33,9.3,Bachelor's,Software Engineer,Mumbai,Small,Finance,No,Good,22.87
38,15.7,Bachelor's,Data Scientist,Bangalore,Large,Healthcare,No,Good,47.96
23,0.4,Bachelor's,Senior Developer,Kochi,Medium,Consulting,Yes,Average,8.73
24,2.2,Master's,Business Analyst,Kolkata,Small,Finance,Yes,Good,10.93
38,16.6,Bachelor's,Project Manager,Chennai,Small,Retail,No,Good,48.67
46,15.9,Bachelor's,Junior Developer,Chennai,Medium,Finance,No,Excellent,46.14
29,4.7,PhD,HR Specialist,Kochi,Large,Healthcare,Yes,Good,17.63
37,10.6,Bachelor's,Junior Developer,Hyderabad,Small,Education,No,Average,21.21
35,12.1,Master's,Senior Developer,Hyderabad,Small,Healthcare,Yes,Good,35.58
41,17.4,Master's,Marketing Executive,Chennai,Medium,Consulting,No,Excellent,51.92
34,12.1,High School,Project Manager,Delhi,Large,Consulting,Yes,Good,33.95
26,8.3,Bachelor's,Marketing Executive,Bangalore,Medium,Education,Yes,Average,20.97
28,7.5,Master's,Project Manager,Chennai,Large,Education,Yes,Average,22.67
28,8.5,PhD,Accountant,Kochi,Large,IT,No,Good,24.33
31,13.0,Bachelor's,Project Manager,Bangalore,Medium,Finance,No,Excellent,38.22
38,17.3,High School,Junior Developer,Mumbai,Large,IT,No,Good,50.69
36,9.1,Bachelor's,Junior Developer,Delhi,Medium,Manufacturing,No,Good,22.27
29,5.0,Diploma,Marketing Executive,Kochi,Medium,Finance,Yes,Good,14.45
32,4.7,Master's,Junior Developer,Chennai,Medium,Healthcare,Yes,Excellent,16.99
40,14.9,Bachelor's,Data Analyst,Chennai,Large,Manufacturing,No,Good,42.49
42,16.3,Master's,Junior Developer,Pune,Large,Retail,Yes,Excellent,46.72
24,2.1,Master's,Data Analyst,Delhi,Large,Retail,No,Good,14.55
27,1.3,Bachelor's,Project Manager,Pune,Large,IT,No,Good,12.36
38,11.9,Bachelor's,Software Engineer,Bangalore,Medium,Education,No,Good,32.45
25,2.9,Master's,Data Scientist,Bangalore,Large,Education,Yes,Good,16.86
42,16.5,Master's,Business Analyst,Kochi,Large,Healthcare,No,Excellent,48.93
32,6.2,Master's,Junior Developer,Pune,Small,Manufacturing,Yes,Good,18.95
26,2.9,High School,Junior Developer,Mumbai,Small,Consulting,Yes,Good,7.98
40,18.4,Bachelor's,Senior Developer,Hyderabad,Medium,Finance,No,Good,58.69
24,3.3,Diploma,Accountant,Bangalore,Large,Healthcare,No,Good,12.88
30,5.7,Master's,Data Scientist,Pune,Medium,Healthcare,No,Good,19.65
28,3.1,Bachelor's,HR Specialist,Kochi,Large,Manufacturing,Yes,Good,12.12
24,2.3,Bachelor's,Junior Developer,Delhi,Small,IT,No,Good,7.76
24,0.4,Diploma,Marketing Executive,Delhi,Medium,Consulting,No,Good,8.06
27,1.1,Bachelor's,Junior Developer,Mumbai,Medium,Manufacturing,No,Good,7.94
29,3.5,Master's,Marketing Executive,Hyderabad,Small,Education,No,Average,11.23
29,1.1,Diploma,Software Engineer,Delhi,Large,Retail,Yes,Good,11.35
39,11.8,High School,Accountant,Mumbai,Small,Consulting,No,Good,28.8
35,13.6,Master's,Senior Developer,Hyderabad,Large,Manufacturing,No,Good,39.36
36,7.9,Master's,Software Engineer,Kochi,Small,Finance,No,Good,21.3
29,6.4,Diploma,Data Analyst,Kochi,Large,IT,No,Good,16.65
37,10.1,Bachelor's,Junior Developer,Delhi,Medium,Retail,No,Excellent,25.42
42,17.5,PhD,Software Engineer,Kolkata,Small,Finance,No,Good,53.1
40,17.0,Master's,Project Manager,Mumbai,Small,IT,No,Good,51.65
21,0.9,Bachelor's,Data Analyst,Kolkata,Small,Consulting,Yes,Good,7.27
27,3.6,Bachelor's,Data Analyst,Delhi,Medium,Education,Yes,Good,15.25
25,4.7,Bachelor's,Accountant,Chennai,Large,Retail,No,Good,14.84
31,5.0,High School,Software Engineer,Mumbai,Medium,Finance,No,Good,13.55
39,11.4,Master's,Data Analyst,Kochi,Medium,IT,No,Good,29.62
30,8.3,High School,Software Engineer,Delhi,Medium,IT,No,Average,20.3
26,1.0,High School,Data Scientist,Kochi,Medium,Healthcare,No,Good,10.02
30,7.5,Master's,Data Analyst,Bangalore,Medium,IT,Yes,Average,18.95
33,10.5,Master's,Junior Developer,Chennai,Medium,Healthcare,Yes,Good,26.44
28,2.0,Master's,Junior Developer,Mumbai,Large,Healthcare,No,Good,13.99
41,16.7,Bachelor's,Accountant,Kolkata,Large,Education,No,Good,49.04
29,1.0,Bachelor's,Junior Developer,Hyderabad,Medium,Retail,No,Good,8.44
41,18.5,Bachelor's,Marketing Executive,Pune,Small,Healthcare,No,Excellent,56.9
28,2.0,Bachelor's,Business Analyst,Kolkata,Small,Education,No,Good,10.8
41,16.9,Bachelor's,Data Scientist,Chennai,Medium,IT,No,Good,51.03
44,18.1,Bachelor's,Data Analyst,Bangalore,Medium,Healthcare,No,Excellent,55.23
42,19.6,Bachelor's,Marketing Executive,Mumbai,Large,Consulting,Yes,Good,61.95
40,16.0,Master's,Business Analyst,Mumbai,Medium,Consulting,No,Good,46.2
39,15.6,PhD,Software Engineer,Kolkata,Medium,Education,No,Average,44.48
35,12.8,High School,Business Analyst,Kolkata,Large,Consulting,Yes,Good,33.87
41,15.6,Bachelor's,Business Analyst,Hyderabad,Medium,Education,No,Good,41.95
28,2.7,Diploma,Software Engineer,Kolkata,Large,IT,No,Average,9.76
36,10.7,Bachelor's,Junior Developer,Mumbai,Small,Consulting,No,Good,25.64
38,10.3,Bachelor's,Marketing Executive,Pune,Medium,Healthcare,No,Average,26.14
45,17.2,Diploma,Junior Developer,Hyderabad,Large,Retail,Yes,Good,46.85
32,9.3,Master's,HR Specialist,Mumbai,Large,Retail,Yes,Average,24.74
33,7.7,Bachelor's,Junior Developer,Delhi,Large,Healthcare,Yes,Average,18.76
35,12.8,Master's,HR Specialist,Hyderabad,Medium,Manufacturing,Yes,Excellent,37.16
29,5.3,High School,Senior Developer,Delhi,Large,Education,No,Good,17.3
25,2.8,High School,Junior Developer,Mumbai,Medium,Healthcare,No,Excellent,12.86
38,9.6,Bachelor's,Junior Developer,Delhi,Medium,Healthcare,No,Good,24.35
33,8.3,High School,Software Engineer,Mumbai,Small,Manufacturing,Yes,Average,18.19
28,4.7,Bachelor's,Project Manager,Kolkata,Small,Finance,Yes,Good,15.55
34,7.4,PhD,Junior Developer,Hyderabad,Medium,IT,Yes,Good,20.66
26,7.3,Diploma,Accountant,Bangalore,Small,Consulting,No,Average,17.81
25,6.5,Diploma,HR Specialist,Chennai,Large,Healthcare,Yes,Excellent,16.65
34,7.6,Bachelor's,Senior Developer,Kolkata,Large,Retail,No,Good,21.73
38,13.7,Bachelor's,Business Analyst,Delhi,Large,Manufacturing,No,Good,38.82
31,5.9,Bachelor's,HR Specialist,Kochi,Small,Manufacturing,No,Good,15.89
40,19.0,Bachelor's,HR Specialist,Chennai,Large,Retail,Yes,Good,55.41
42,18.3,Master's,Software Engineer,Pune,Small,Retail,Yes,Good,56.73
39,9.6,Diploma,Marketing Executive,Delhi,Medium,Manufacturing,No,Excellent,24.29
33,6.6,Bachelor's,Project Manager,Bangalore,Large,Consulting,No,Good,19.09
35,10.7,Master's,Business Analyst,Delhi,Small,IT,Yes,Average,24.2
40,17.0,Master's,Data Scientist,Kolkata,Small,Manufacturing,No,Average,49.11
36,13.1,Bachelor's,HR Specialist,Kochi,Small,Finance,No,Good,32.75
35,16.1,Bachelor's,Data Analyst,Kochi,Medium,Consulting,No,Excellent,45.91
35,10.7,High School,Junior Developer,Kolkata,Large,IT,Yes,Excellent,27.66
39,12.7,Diploma,Software Engineer,Delhi,Small,Finance,Yes,Good,31.32
26,5.8,High School,Accountant,Delhi,Small,Finance,Yes,Excellent,13.9
37,14.7,Master's,Marketing Executive,Kolkata,Medium,Retail,Yes,Good,40.47
